order_id,return_date,return_reason
3142,2024-06-07,Damaged
111428,2025-08-30,Not Needed
95311,2025-05-15,Damaged
49646,2025-05-28,Bad Quality
21170,2024-03-17,Damaged
61862,2025-11-13,Not Needed
16862,2025-06-14,Not Needed
18732,2025-11-23,Damaged
101347,2025-07-26,Not Needed
22465,2025-03-26,Not Needed
94498,2025-09-21,Wrong Item
55550,2025-10-31,Bad Quality
80300,2024-07-05,Not Needed
42332,2025-03-20,Not Needed
14315,2025-11-14,Damaged
91735,2025-01-17,Damaged
9671,2025-08-03,Wrong Item
91835,2025-02-17,Bad Quality
70264,2025-07-19,Bad Quality
35252,2025-11-16,Wrong Item
35376,2024-02-20,Bad Quality
39040,2025-05-28,Not Needed
87365,2023-12-30,Wrong Item
16131,2025-02-25,Bad Quality
27312,2025-08-20,Bad Quality
97154,2024-06-29,Not Needed
111929,2025-07-23,Not Needed
66204,2024-04-11,Damaged
84233,2025-05-06,Not Needed
3402,2025-09-07,Bad Quality
70181,2025-11-27,Not Needed
23250,2025-08-22,Bad Quality
83539,2025-05-25,Wrong Item
47431,2025-11-20,Damaged
44318,2025-08-04,Wrong Item
105970,2025-08-22,Not Needed
89961,2025-11-28,Not Needed
18979,2024-08-09,Wrong Item
56022,2024-07-07,Damaged
65036,2025-11-07,Damaged
16911,2025-10-06,Wrong Item
24611,2024-08-15,Damaged
67864,2025-09-02,Not Needed
74065,2025-07-05,Bad Quality
6823,2025-10-25,Damaged
86706,2025-07-11,Not Needed
107569,2025-04-14,Damaged
84241,2025-07-06,Wrong Item
12909,2025-03-26,Bad Quality
29620,2025-09-19,Not Needed
85082,2025-10-07,Not Needed
41301,2025-01-25,Not Needed
52516,2025-11-25,Damaged
77937,2025-08-06,Wrong Item
85899,2025-03-21,Wrong Item
102308,2025-10-04,Bad Quality
84109,2025-10-06,Wrong Item
79083,2024-09-28,Bad Quality
8231,2025-09-02,Not Needed
83593,2025-11-16,Wrong Item
77205,2025-04-06,Not Needed
25807,2024-12-18,Wrong Item
15989,2025-09-06,Wrong Item
34918,2025-08-10,Damaged
20410,2025-08-10,Not Needed
79280,2025-06-26,Not Needed
16510,2024-05-05,Not Needed
90266,2024-12-30,Bad Quality
53605,2025-06-29,Damaged
15736,2025-08-29,Bad Quality
91625,2024-09-13,Bad Quality
102750,2025-05-12,Damaged
45511,2025-05-03,Bad Quality
112479,2025-08-18,Wrong Item
12666,2025-07-03,Damaged
32080,2025-10-02,Bad Quality
47911,2024-12-11,Damaged
19145,2025-05-08,Bad Quality
92251,2025-08-06,Wrong Item
32178,2025-05-18,Wrong Item
117413,2025-03-05,Bad Quality
4786,2025-09-13,Damaged
10879,2025-07-10,Damaged
32188,2025-07-19,Damaged
87237,2025-06-14,Damaged
30021,2025-09-21,Wrong Item
455,2025-09-06,Bad Quality
113863,2024-12-17,Not Needed
111448,2024-11-03,Not Needed
57441,2025-11-13,Damaged
50489,2025-02-25,Not Needed
32857,2025-08-25,Bad Quality
83392,2024-11-03,Damaged
90543,2025-07-01,Wrong Item
88053,2025-04-14,Damaged
58860,2024-03-05,Wrong Item
97353,2025-08-20,Damaged
72953,2025-10-10,Not Needed
58992,2025-08-05,Bad Quality
46075,2025-09-07,Not Needed
47378,2025-11-22,Wrong Item
58342,2025-10-17,Not Needed
79650,2025-07-30,Not Needed
1077,2025-05-21,Damaged
38378,2025-04-21,Wrong Item
117165,2025-05-28,Wrong Item
117140,2024-05-13,Bad Quality
101141,2025-09-04,Damaged
92295,2025-07-28,Wrong Item
25590,2025-04-07,Not Needed
80333,2025-11-11,Wrong Item
92722,2025-11-21,Bad Quality
102554,2025-08-15,Not Needed
38730,2025-06-27,Wrong Item
91805,2024-12-27,Bad Quality
27464,2025-10-06,Bad Quality
89022,2025-09-01,Wrong Item
26801,2025-04-06,Not Needed
110022,2025-09-30,Bad Quality
37887,2025-10-25,Wrong Item
4195,2024-11-12,Wrong Item
